id,position,name,score,ratings,category,price_range,lat,lng,address,city,state,zip_code
34811,282,Ruth's Chris Steak House (7720 Jones Maltsberger Rd),4.6,16,"Steak, American, Seafood",$,29.5057879,-98.4812829,7720 Jones Maltsberger Rd, San Antonio, TX,78216
34812,281,Los Azulejos Restaurant,4.1,12,"Mexican, Pizza, Burgers",,29.53672,-98.525492,2267 NW Military Hwy, San Antonio, TX,78213
34813,280,Chilaquil,4.7,37,"Mexican, Tacos, Snacks",,29.44192465,-98.48055247,312 Pearl Parkway, San Antonio, TX,78215
34815,277,Deco Pizzeria (1815 Fredericksburg Rd.),3.9,13,"Salads, Pizza, Desserts, Healthy",$,29.4614836,-98.5233319,1815 Fredericksburg Rd, San Antonio, TX,78201
34816,276,Powerbomb Pizza (San Antonio) (824 Afterglow Street),,,"Pizza, American, Italian",$,29.54725,-98.50645,824 Afterglow Street, San Antonio, TX,78216
34817,275,Los Arcos Mexican Grill (Bulverde),4.6,118,"Mexican, New Mexican, Salads, Exclusive to Eats",$,29.6466728,-98.4243819,22106 Bulverde Road, San Antonio, TX,78259
34818,272,Los Arcos Mexican Grill (Judson),4.7,167,"Mexican, Salads, Sandwich, Exclusive to Eats",$,29.588099,-98.378622,15179 Judson Road, San Antonio, TX,78247
34819,270,Falafel Factory (5713 Evers Rd),,,"Mediterranean, Middle Eastern, Falafel, Greek, Sandwiches, Salads, Chicken",$,29.48953,-98.59832,5713 Evers Rd, San Antonio, TX,78238
34820,269,Gunpowder Cafe (9903 Fredericksburg Rd),,,"Chicken, Halal, Vegetarian, BOGO, Exclusive to Eats",,29.53438,-98.57737,9903 Fredericksburg Rd, San Antonio, TX,78240
34821,268,Happy Place Bar on Rittiman (4722 Rittiman Rd),,,"American, Burgers, Sandwiches",$,29.48373,-98.39912,4722 Rittiman Rd, San Antonio, TX,78218
34822,267,One Pocha,,,"Korean, Asian, BBQ",$$,29.5099,-98.40741,4408 Walzem Road, San Antonio, TX,78218
34823,265,Don Adolfo’s Bar and Grill,4.8,54,"Mexican, Latin American, New Mexican",$,29.62534,-98.49551,19141 Stone Oak Pkwy, San Antonio, TX,78258
34825,259,Barbaro,4.8,109,"Italian, Pizza",$,29.4556727,-98.4916736,2720 McCullough Ave, San Antonio, TX,78212
34826,256,Yum Thai 2 - San Antonio,4.5,13,"Vietnamese, Noodles, Healthy, Asian, Bubble Tea, Family Meals",$,29.638355,-98.45412,21038 Hwy 281 N Ste 103, San Antonio, TX,78258
34827,254,Rotana,4.7,57,"Mediterranean, Burgers, Wings, Desserts, Sandwich, Salads, Family Meals, Healthy",$,29.5869707,-98.4529381,2250 Thousand Oaks, San Antonio, TX,78232
34828,253,Filipino Express,4.6,76,"Asian, Desserts",$,29.4898459,-98.5853853,4963 NW Loop 410, San Antonio, TX,78229
